"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
6469,2908021,3028857,3502684,2656014,1530678,2466913,2985726,3192586,2934575,2794375,3043566,3404304,100,"tower"
6481,3990006,4046542,3025494,1155155,2848600,2779176,3274589,3481636,3246353,3147880,4045274,4296463,100,"tower"
6504,151634,148245,143149,126191,137389,156944,156952,165228,152222,150178,162687,156642,100,"tower"
6559,221277,188583,208102,180501,153737,141928,151219,157209,167858,178015,175932,160165,100,"tower"
6639,1762456,1611119,1452386,1596214,1635095,1434810,1591607,1247892,1031282,726182,737334,323830,100,"tower"
6641,4369891,890085,710061,461306,2728850,3048435,3692502,3574692,3741757,1788006,2663252,2917520,100,"tower"
6664,2077995,2127924,1802051,152985,1698537,1731532,2203944,1962155,1688603,355388,1911557,1094178,100,"tower"
6768,860799,722607,815356,279234,750110,721124,634336,782033,826378,700648,815133,725961,100,"tower"
6772,314232,135610,545595,0,211275,719648,167618,561122,651476,140237,123005,0,100,"tower"
6823,1071546,1456717,1382132,754384,1472968,1603375,1622306,1355697,1562227,876438,1683381,1137153,100,"tower"
7013,0,0,0,0,0,0,26603,38813,12360,0,0,0,100,"tower"
7030,1327941,1198455,696922,1166876,1245099,1359701,1340755,1349653,1376237,1222884,1322214,1338016,100,"tower"
7153,169130,111293,306302,312662,236080,336927,1181264,954247,453205,308984,131191,34350,100,"tower"
7210,854536,577455,776619,709126,285431,753114,860434,1014640,890928,943516,1318242,1017715,100,"tower"
7213,559607,520214,446636,0,0,282495,1736060,1399198,0,332774,1753929,288258,100,"tower"
7238,474341,607263,716691,814721,891616,805548,810242,852082,880365,933121,330283,418115,100,"tower"
7242,29041500,16473080,26306060,17557760,27432420,26106640,29554100,30843560,29401400,28410560,21135760,26341020,2000,"tower"
7266,104924,66974,36920,78259,86510,62734,84596,80761,106803,80433,82350,104547,100,"tower"
7294,5088,4848,5288,5269,6874,7108,7413,7587,7305,6883,4967,5223,100,"tower"
7296,391226,438985,535885,626887,447171,530590,632480,618209,579658,333965,322192,483149,100,"tower"
7307,92982,89602,30,2857,11003,12336,120387,110524,91248,95206,31,99371,100,"tower"
7314,125258,50506,74585,52773,103629,85471,239661,168352,65001,85831,39081,133813,100,"tower"
7350,353533,289787,340129,43935,34117,190293,312268,330639,326021,323306,345210,366562,100,"tower"
7504,418249,391200,421990,182572,404918,392245,420678,423981,404303,433653,405112,447757,100,"tower"
7527,80476,76728,49002,45024,0,32917,54215,61052,62462,67879,64453,76542,100,"tower"
