,Plant_ID,WB_01,WB_02,WB_03,WB_04,WB_05,WB_06,WB_07,WB_08,WB_09,WB_10,WB_11,WB_12,DB_01,DB_02,DB_03,DB_04,DB_05,DB_06,DB_07,DB_08,DB_09,DB_10,DB_11,DB_12
347,2718,1.8266854751237351,-0.00526771831534648,8.096368129242284,12.864330482499394,17.064022121183577,21.041620442620136,21.90919194234229,20.790865557264624,18.88875440286823,12.696046324073643,9.993016440110408,10.917999517512722,4.778458948287384,3.133740044464312,12.307218413551906,16.681908468584652,21.643824497768122,26.39215926430231,27.529171606990985,26.212834758750304,22.919245114644493,15.862272500405203,12.759329567948301,13.117049506944287
348,2720,1.0630313141622478,-1.2533526011211047,7.0813905659956315,11.853412472118473,16.652773210426542,20.57002047262536,21.535907102470528,20.403098341506762,18.32715160362881,11.993199383650023,9.240502669011438,9.872946659774154,4.083874192165769,1.833894661077717,11.188368720276827,15.914230800053266,21.435200813434086,25.84176227036207,26.758155635521792,25.224046350237153,22.153311429975208,15.412111944084186,12.269370214178343,11.896297725156783
349,2721,1.9221739983815331,0.14831379634824599,8.345610328501756,13.039247268792133,17.12057768435129,21.129165752848312,22.034800162958142,20.852595594487564,18.81421462464166,12.70866173047565,10.061950736638622,10.834793674477172,4.888865917385963,3.2670528300937764,12.44561396979301,16.883667445828326,21.738063605807536,26.20931022961585,27.516868447566505,26.200832881667463,22.81454348393647,15.728916927791829,12.82477459964457,12.994038096079585
350,2723,0.29083856371444683,-2.3153277917649566,5.896371675350941,11.314792017534472,16.69312063563238,20.68255656204802,21.738801641782104,20.227094924332725,18.286286160808178,11.50406025931785,8.856671494928115,9.40985106072548,3.1671257692839077,0.6692459020963754,10.077535154096285,15.354551358144986,21.103017630662563,25.40997191081554,26.044879032913265,24.69615231088717,21.852756136392763,14.701854151917217,11.877717928082069,11.245036707474664
351,2727,1.3633206159034805,-0.6629652060986471,7.580519437770658,12.220951185968186,16.727542615714125,20.70449747882027,21.552826032526866,20.45008650337682,18.393563388468205,12.211843624901116,9.483210649647022,10.039581882102596,4.410193362367668,2.4585546225191646,11.74542618278704,16.07797007044973,21.44347140543315,25.787297564029718,27.067885581415155,25.79670753230205,22.369689834016818,15.532341673593733,12.351949297695652,12.219729206316266
352,2790,-8.203476971580521,-12.071564230731013,-0.9547173536147912,3.5110249476205877,8.391267649958174,15.244934577904422,17.79635726980773,16.236951178740295,13.29261212978373,6.050614968572352,-1.1058522556474029,-6.110025647908612,-7.372542470803202,-11.540765332274331,2.019427422484272,7.318966261477271,12.092174882811593,19.0610505955292,21.920685975791123,20.977526916400276,17.795740952997136,9.30002267965508,0.7231334114822318,-5.47048395452054
353,2817,-8.501592468917064,-12.973695293560825,-1.2199756925362994,3.1548360035279797,7.923264995241728,14.764651545380529,17.47144893412047,15.64647214517476,12.543195977222295,5.828107632807473,-1.2811704964758157,-6.037059210497439,-7.806919462905723,-12.69023580274095,1.4493172633400322,6.804596699940069,11.858057326039987,18.70836451236729,21.327269186682702,20.482802753463695,17.06971777515047,9.01149470221498,0.6228496568382462,-4.885135901803445
354,2823,-8.39327837794616,-12.646371164503671,-1.1182420059343408,3.2700820047106736,8.060119442011473,14.916832124655848,17.556692267422335,15.82516272994732,12.791964964509045,5.898376339446613,-1.2416628000620642,-6.039983834661414,-7.633130438043356,-12.257821256216067,1.6769380560968283,6.991951453938555,11.93839909943166,18.816786390500706,21.56542233919739,20.703707210333725,17.315237818733966,9.111766076734954,0.6466787568518452,-5.038427287317902
355,2824,-8.50464280293747,-12.983610281836519,-1.223054533871588,3.151463742881899,7.919141649554161,14.75989068140048,17.469143350182687,15.641051821801469,12.535263590432233,5.826089133221619,-1.2821959959515064,-6.037071880415164,-7.81243141192726,-12.703989395260496,1.4420675641257088,6.798298823603303,11.85566011645396,18.704962688579847,21.31893885376062,20.475172001340983,17.062193661501944,9.008409525920833,0.6221785833537568,-4.880731806722811
356,2828,-4.801072895600825,-8.42751755317634,0.281828384526117,7.373909901325015,14.78537500194109,17.832004139419134,18.850928003851916,17.346157994747916,16.395362161371683,9.038038688700876,6.11249204742667,6.0390968016934,-3.519635418162457,-7.078723494846348,2.7366578677313584,11.754585529201472,19.729420616746005,20.888207963661102,22.480172514926622,21.626348835287057,20.42707627870064,12.395007602471152,9.601564043574758,7.930793015743839
