"plant_bo","bogen"
"3000^1","3000^1"
"3000^2","3000^1"
"3006^1","3006^1"
"3006^2","3006^2"
"3006^3","3006^3"
"3006^4","3006^4"
"3006^5","3006^5"
"3006^6","3006^6"
"3008^1","3008^1"
"3008^2","3008^2"
"3008^3","3008^3"
"3096^3","3096^1"
"3096^2A","3096^1"
"3096^2B","3096^1"
"3096^HRSG2A","3096^1"
"3096^HRSG2B","3096^1"
"3096^HRSG3","3096^1"
"3113^1","3113^1"
"3113^2","3113^2"
"3118^1","3118^1"
"3118^2","3118^2"
"3122^1","3122^1"
"3122^2","3122^2"
"3122^3","3122^3"
"3130^1","3130^1"
"3130^2","3130^1"
"3131^1","3131^1"
"3131^2","3131^2"
"3131^3","3131^3"
"3131^4","3131^4"
"3136^1","3136^1"
"3136^2","3136^2"
"3138^3","3138^1"
"3138^4","3138^2"
"3138^5","3138^3"
"3140^1","3140^1"
"3140^2","3140^2"
"3140^3","3140^3"
"3148^3","3148^3"
"3148^4","3148^4"
"3149^1","3149^1"
"3149^2","3149^2"
"3161^3","3161^3"
"3161^4","3161^4"
"3176^5","3176^1"
"3176^6","3176^1"
"3176^HRSG 5","3176^1"
"3176^HRSG 6","3176^1"
"3236^GE9A","3236^1"
"3236^HRSG09","3236^1"
"3236^G10A","3236^2"
"3236^HRSG10","3236^2"
"3236^G11A","3236^3"
"3236^HRSG11","3236^3"
"3264^3","3264^3"
"3287^MCM1","3287^1"
"3287^MCM2","3287^2"
"3295^CT1","3295^1"
"3295^HRSG5","3295^1"
"3295^CT2","3295^2"
"3295^HRSG6","3295^2"
"3295^URQ3","3295^3"
"3297^WAT1","3297^1"
"3297^WAT2","3297^2"
"3298^WIL1","3298^1"
"3319^1","3319^1"
"3319^2","3319^2"
"3393^1","3393^1"
"3393^2","3393^2"
"3393^3","3393^3"
"3396^1","3396^1"
"3399^1","3399^1"
"3399^2","3399^2"
"3403^1","3403^1"
"3403^2","3403^2"
"3403^3","3403^3"
"3403^4","3403^4"
"3405^CTG1","3405^5"
"3405^CTG2","3405^5"
"3405^CTG3","3405^5"
"3405^HRSG1","3405^5"
"3406^1","3406^1"
"3406^10","3406^10"
"3406^2","3406^2"
"3406^3","3406^3"
"3406^4","3406^4"
"3406^5","3406^5"
"3406^6","3406^6"
"3406^7","3406^7"
"3406^8","3406^8"
"3406^9","3406^9"
"3407^1","3407^1"
"3407^2","3407^2"
"3407^3","3407^3"
"3407^4","3407^4"
