"Plant design conditions from EIA 860 report. User parameters (Min T,Min approach, and Max approach) specifies consitions used in model calculations",,,,,,,,,,,,
Days in month,,,,,,,,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,design
31,28,31,30,31,30,31,31,30,31,30,31,30
Min T,Min approach,max approach,,,,,,,,,,
4.44444,5,15,,,,,,,,,,
Plant Characteristics,,,DC,,,,,,,,,
Plant_ID,Elevation,Pond_Area,Tdb,Twb,nwT,,,,,,,
10603,2175,0,80.90704898,72.14906479,30.49,,,,,,,
10631,-215,0,93.58979854,77.21960467,30.49,,,,,,,
10632,-220,0,93.52646699,77.18667335,30.49,,,,,,,
10633,47,0,87.64004855,78.21180514,30.49,,,,,,,
10634,-224,0,93.50622517,77.16952693,30.49,,,,,,,
10640,20,0,93.80276774,69.93223896,30.49,,,,,,,
10641,2185,0,80.90487971,72.17683155,30.49,,,,,,,
10642,93,0,82.79471073,75.78934963,30.49,,,,,,,
10643,9,0,82.79471073,75.78934963,30.49,,,,,,,
10646,38,0,82.99300426,75,30.49,,,,,,,
10652,3228,0,89.33056592,66.95880478,30.49,,,,,,,
10670,23,0,88.45288466,79.72692552,30.49,,,,,,,
10671,430,0,89.64106727,77.82053363,30.49,,,,,,,
10672,10,0,87.29535709,79.2701581,30.49,,,,,,,
10673,3,0,84.28764753,76.14099959,30.49,,,,,,,
10678,650,0,83.28503132,73.88676591,30.49,,,,,,,
10682,4246,0,78.89605751,62.44802875,30.49,,,,,,,
10725,190,0,82.26745711,74.13372855,30.49,,,,,,,
10731,503,0,82.12323908,74.05004959,30.49,,,,,,,
10741,15,0,88.53108215,79.85252393,30.49,,,,,,,
10746,11,0,85.83379941,76.83379941,30.49,,,,,,,
10751,19,0,85.52855561,76.52855561,30.49,,,,,,,
10755,5526,0,81.82208127,63.60736042,30.49,,,,,,,
10759,-228,0,93.49926506,77.17309482,30.49,,,,,,,
10761,1925,0,94.96085217,70.44524461,30.49,,,,,,,
10763,38,0,94.96085217,70.44524461,30.49,,,,,,,
10764,83,0,67.60083609,61.29106111,30.49,,,,,,,
10765,148,0,80.72656069,72.27343931,30.49,,,,,,,
10766,229,0,80.76585123,72.23414877,30.49,,,,,,,
10767,301,0,96.02376253,72.0951106,30.49,,,,,,,
10768,728.71,0,93.84013188,70.38922461,30.49,,,,,,,
10769,637,0,94.54666413,70.90562945,30.49,,,,,,,
10771,48,0,87.63851696,78.21287247,30.49,,,,,,,
10772,142,0,94,70.26019948,30.49,,,,,,,
10773,547,0,86.23819288,75.71917899,30.49,,,,,,,
10774,18,0,87.35536046,78.67768023,30.49,,,,,,,
10777,4035,0,86.26811,63.85393595,30.49,,,,,,,
10784,3247,0,85.30905475,66.03240764,30.49,,,,,,,
10802,96,0,84.22848076,74.95311926,30.49,,,,,,,
10805,97,0,85.82941953,76.20751605,30.49,,,,,,,
10811,12,0,78.6497774,71.31982421,30.49,,,,,,,
10812,18,0,78.43353249,71.27812282,30.49,,,,,,,
10819,631,0,82.76401839,74.88200919,30.49,,,,,,,
10822,1255,0,81.42078661,72.71437911,30.49,,,,,,,
10836,38,0,93.63190937,70,30.49,,,,,,,
10837,163,0,95.76091689,72.04768035,30.49,,,,,,,
10838,1152,0,81.86982048,72.67689107,30.49,,,,,,,
