Plant.Code,elevation,pond_area
54365,125.63,1000000
54415,1302.05,1000000
54423,86.38,1000000
54424,82.69,1000000
54426,146.83,1000000
54466,94.99,1000000
54468,5061.51,1000000
54469,157.93,1000000
54476,51.58,1000000
54526,1086.28,1000000
54529,112.16,1000000
54537,193.83,1000000
54547,277.04,1000000
54561,42.42,1000000
54578,2552.52,1000000
54579,4157.05,1000000
54586,105.08,1000000
54592,255.47,1000000
54593,894.41,1000000
54626,1069.18,1000000
54627,14.8,1000000
54634,1381.37,1000000
54640,36.84,1000000
54646,10.81,1000000
54658,146.03,1000000
54676,5.09,1000000
54693,423.34,1000000
54694,130.11,1000000
54744,415.76,1000000
54746,14.23,1000000
54749,638.49,1000000
54751,753.87,1000000
54755,100.07,1000000
54758,118.95,1000000
54761,562.25,1000000
54785,18.87,1000000
54805,253.19,1000000
54817,848.46,1000000
54832,216.06,1000000
54852,1081.26,1000000
54914,7.68,1000000
54915,634.79,1000000
54945,17.9,1000000
54974,734.86,1000000
54985,297.67,1000000
54998,7.89,1000000
55010,804.77,1000000
55011,820.24,1000000
55040,319.53,1000000
55041,181.47,1000000
55042,10.43,1000000
55043,685.17,1000000
55047,25.5,1000000
55048,252.84,1000000
55062,364.68,1000000
55063,224.74,1000000
55065,3500.67,1000000
55068,59.87,1000000
55075,204.45,1000000
55076,556.66,1000000
55079,613.22,1000000
55086,19.7,1000000
55087,659.37,1000000
55088,584.68,1000000
55090,2722.63,1000000
55096,602.4,1000000
55097,542.74,1000000
55098,115.65,1000000
55100,615.85,1000000
55103,4140.71,1000000
55104,8.91,1000000
55107,334.69,1000000
55123,92.43,1000000
55124,2483.16,1000000
55126,61.14,1000000
55129,1369.58,1000000
55131,632.31,1000000
55132,378.44,1000000
55137,563.3,1000000
55139,790.04,1000000
55144,622.66,1000000
55146,603.78,1000000
55151,980.4,1000000
55153,684.62,1000000
55154,490.12,1000000
55168,553.85,1000000
55170,318.79,1000000
