Plant.Code,state,water_source,gsf_v11_id,prms_id,elev_ft,pond_acres,latitude,longitude,huc_12
1167,IA,sw_fresh,20779,20803,550.83,1000000,41.406291,-91.124798,070801010701
1175,IA,municipal,18185,18195,877.51,1000000,41.442011,-92.941628,070801051105
1206,IA,sw_fresh,24418,24429,1332.76,1000000,41.090182,-94.301686,1.02801E+11
1217,IA,gw_fresh,26620,26644,1342.44,1000000,43.2159,-95.310282,1.023E+11
1218,IA,sw_fresh,20772,20800,560.69,1000000,41.445338,-90.777026,070801010603
1230,KS,gw_fresh,37202,37217,2605,1000000,37.209651,-100.752241,1.104E+11
1233,KS,gw_fresh,37699,37534,2458.7,1000000,37.697413,-99.983294,1.103E+11
1235,KS,gw_fresh,37443,37462,1920.36,1000000,38.339214,-98.899987,1.103E+11
1239,KS,sw_fresh,35194,35205,818.52,1000000,37.10953,-94.637075,1.10702E+11
1240,KS,gw_fresh,37333,37346,1380.8,1000000,37.768645,-97.583702,1.103E+11
1241,KS,sw_fresh,24617,24622,850.53,1000000,38.429799,-94.646285,1.02901E+11
1242,KS,gw_fresh,37337,37350,1304.92,1000000,37.622822,-97.490352,1.103E+11
1243,KS,sw_fresh,36767,36779,856.48,1000000,37.319002,-95.125078,1.10702E+11
1248,KS,gw_fresh,37369,37383,1605.87,1000000,38.093756,-97.891806,1.103E+11
1250,KS,sw_fresh,24881,24872,841.64,1000000,38.996579,-95.245378,1.02701E+11
1252,KS,sw_fresh,24799,24811,877.8,1000000,39.052646,-95.585645,1.02701E+11
1270,KS,municipal,25392,25411,1202.65,1000000,39.382228,-97.079267,1.025E+11
1271,KS,municipal,37658,37677,731.56,1000000,37.065355,-95.566044,1.10701E+11
1291,KS,sw_fresh,36789,36811,946.32,1000000,37.997188,-95.440984,1.10702E+11
1294,KS,sw_fresh,24885,24858,722.53,1000000,39.071191,-94.682127,1.02701E+11
1295,KS,sw_fresh,24337,24344,755.12,1000000,39.137746,-94.626572,1.024E+11
1299,KS,gw_fresh,37502,37524,2002.77,1000000,38.165327,-99.043964,1.103E+11
1305,KS,municipal,37359,37373,1486.43,1000000,38.404138,-97.649311,1.103E+11
1317,KS,municipal,37301,37319,1873.23,1000000,37.640143,-98.745926,1.103E+11
1330,KS,municipal,37347,37362,1217.19,1000000,37.318295,-97.438032,1.103E+11
1336,KS,gw_fresh,37532,37555,2847.69,1000000,37.978667,-100.943381,1.103E+11
1353,KY,sw_fresh,12242,12069,565.74,1000000,38.140623,-82.625095,050702040401
1355,KY,sw_fresh,12335,12340,878,1000000,37.741093,-84.714595,051002050507
1356,KY,sw_fresh,12631,12634,488.85,1000000,38.709858,-85.085955,050902031010
1357,KY,sw_fresh,14455,14473,402.15,1000000,37.416286,-87.101629,051100030505
1360,KY,sw_fresh,13934,13958,977,1000000,36.77479,-83.765512,051301010303
1361,KY,sw_fresh,12321,12324,519.83,1000000,38.055783,-84.845347,051002050708
1363,KY,sw_fresh,13842,13866,459.66,1000000,38.187663,-85.80363,051401010903
1364,KY,sw_fresh,13856,13879,454.58,1000000,38.102568,-85.904153,051401010906
1372,KY,sw_fresh,13830,13848,346.14,1000000,37.928532,-87.570791,051402020401
1374,KY,sw_fresh,13786,13798,406.68,1000000,37.828812,-87.1218,051402011202
1378,KY,sw_fresh,14440,14464,419.6,1000000,37.286813,-86.965312,051100030503
1379,KY,sw_fresh,12359,12364,344.93,1000000,37.148435,-88.818489,051402060701
1381,KY,sw_fresh,13774,13795,406.66,1000000,37.959461,-86.849135,051402010703
1382,KY,sw_fresh,14402,14423,425.74,1000000,37.620126,-87.477897,051100050402
1383,KY,sw_fresh,14402,14423,426.26,1000000,37.620126,-87.477897,051100050402
1384,KY,sw_fresh,12693,12700,811.19,1000000,36.965771,-84.538762,051301030205
1385,KY,sw_fresh,12332,12213,614,1000000,37.890829,-84.187741,051002050107
1393,LA,municipal,21686,21704,19.58,1000000,30.315828,-93.408292,080802050405
1394,LA,sw_fresh,22453,22485,21.14,1000000,30.292874,-91.07437,080702020802
1396,LA,sw_fresh,21763,21783,51.22,1000000,30.877453,-92.264737,080801020506
1400,LA,sw_fresh,23266,21807,13.76,1000000,29.817381,-91.612196,080801030404
1402,LA,sw_fresh,23209,22488,13.87,1000000,30.165788,-90.421715,080702040503
1403,LA,sw_fresh,23210,23243,11.7,1000000,29.895766,-90.178946,080903010307
1404,LA,sw_fresh,22108,22142,86.88,1000000,32.743013,-92.074626,080402020705
1416,LA,sw_fresh,34623,34636,179.11,35.63461316,32.502166,-93.836441,1.11403E+11
1417,LA,sw_fresh,34548,34571,196.87,1000000,32.691596,-93.9779,1.11403E+11
1439,LA,municipal,21362,21373,9.22,1000000,29.650752,-90.748465,080903020501
1443,LA,municipal,22941,22975,40.15,1000000,30.249645,-92.0569,080801030106
1447,LA,municipal,36427,36443,185.22,1000000,32.625795,-93.256262,1.11402E+11
1449,LA,municipal,21819,21847,6.15,1000000,29.705185,-91.143003,080903020301
1450,LA,municipal,36369,35717,127.68,1000000,31.702546,-93.091917,1.11402E+11
1455,LA,municipal,22453,22485,20.45,1000000,30.229986,-91.236034,080703000401
1464,LA,gw_fresh,22452,22487,36.98,1000000,30.662493,-91.408001,080703000101
1553,MD,sw_saline,3892,3897,8.49,1000000,39.261568,-76.571263,020600031203
1559,MD,sw_fresh,3887,3928,10.45,1000000,39.261568,-76.571263,020600031203
1564,MD,sw_saline,2961,2985,8.11,1000000,38.511957,-75.797981,020801090501
1570,MD,sw_fresh,2361,2380,355.47,1000000,39.590056,-77.883383,020700041103
1571,MD,sw_saline,3920,3954,9.41,1000000,38.562093,-76.726307,020600060507
1572,MD,sw_fresh,1868,1877,267.75,1000000,39.166022,-77.505531,020700080403
1573,MD,sw_saline,1939,1953,16.54,1000000,38.386411,-77.020452,020700110305
1595,MA,sw_fresh,637,631,9.28,1000000,42.340447,-71.11923,010900010704
1606,MA,sw_fresh,713,718,118.8,1000000,42.321846,-72.610396,010802010610
1613,MA,sw_fresh,783,796,26.73,1000000,41.816516,-71.133207,010900040804
1619,MA,sw_saline,783,796,14.35,1000000,41.816516,-71.133207,010900040804
1642,MA,sw_fresh,710,715,62.9,1000000,42.137861,-72.693745,010802060305
1682,MA,sw_saline,780,769,14.5,1000000,41.816516,-71.133207,010900040804
1695,MI,sw_fresh,10637,10647,586.15,1000000,43.254442,-86.261698,040601021004
1720,MI,sw_fresh,11316,11328,584.2,1000000,43.598192,-83.874828,040802060204
1726,MI,sw_fresh,10451,10461,579.45,1000000,42.337495,-83.027459,040900040503
1732,MI,sw_fresh,11306,11323,596.57,1000000,42.917425,-82.455883,040900010502
1740,MI,sw_fresh,10452,10460,574.57,1000000,42.337495,-83.027459,040900040503
1743,MI,sw_fresh,11308,11324,582.42,1000000,42.723866,-82.471207,040900010504
1745,MI,sw_fresh,10455,10463,581.92,1000000,42.14675,-83.144051,040900040703
1822,MI,sw_fresh,10451,10461,580.82,1000000,42.337495,-83.027459,040900040503
1825,MI,sw_fresh,10301,10311,581.58,1000000,43.04889,-86.135163,040500060712
1830,MI,sw_fresh,10317,10321,582.86,1000000,42.810064,-86.085136,040500020406
1831,MI,sw_fresh,10797,10809,831.11,1000000,42.670664,-84.63687,040500040703
1832,MI,sw_fresh,10821,10823,882.14,1000000,42.740523,-84.609289,040500040704
1866,MI,sw_fresh,10455,10463,574.99,1000000,42.14675,-83.144051,040900040703
1880,MI,sw_fresh,10039,10038,694.76,1000000,42.733764,-85.804418,040500030807
1888,MN,sw_fresh,17476,17487,1243.09,1000000,43.68275,-94.612783,070200090703
1891,MN,sw_fresh,9896,9897,1449.81,1000000,47.542651,-92.136876,040102010105
1893,MN,sw_fresh,21052,21063,1295.08,1000000,47.243676,-93.675331,070101010909
1897,MN,sw_fresh,9933,9936,609.07,1000000,46.757599,-92.129682,040102011604
1904,MN,sw_fresh,17211,17218,704.6,1000000,44.765981,-93.275773,070200121109
